id,Property Name,City,Star Rating,Total Price,Main Distance (km)
255,Diamond Corners Hotel,Makkah,1,MYR 380.18,2.5
256,Blue Coral Hotel,Makkah,1,MYR 380.18,3.6
257,Azard Hotel,Makkah,1,MYR 368.56,3.6
258,VERTA Almahbas Hotel,Makkah,1,MYR 361.17,2.3
259,Emaar Al Noor,Makkah,1,MYR 351.94,3.4
260,Mahd Al Resala 3 Hotel,Makkah,1,MYR 337.86,1.4
261,Abraj Almarzam Hotel,Makkah,1,MYR 332.39,3.1
262,Ajyal Al Madina Hotel 1,Makkah,1,MYR 325.87,1.6
263,Millennium Makkah Al Naseem,Makkah,1,MYR 309.58,6.6
264,Araab Sands Hotel,Makkah,1,MYR 304.15,2.0
265,Masa Al Mashaer,Makkah,1,MYR 282.42,4.8
266,Diamond Corner Hotel,Makkah,1,MYR 281.55,5.5
267,Anaf Hotel,Makkah,1,MYR 280.77,3.6
268,Gacine Hotel Eskan,Makkah,1,MYR 278.62,3.1
269,Rose ALMedina,Makkah,1,MYR 273.73,3.8
270,Almas Maghreb Hotel,Makkah,1,MYR 269.85,1.9
271,Al Zaereen Hotel 2,Makkah,1,MYR 224.92,3.9
272,Al Hidayah Towers Hotel,Makkah,1,MYR 219.96,6.4
273,Emaar Forum,Makkah,1,MYR 209.10,4.1
274,Knoz Al Anood Hotel Makkah,Makkah,1,MYR 199.43,6.3
275,Narjes Al Hadeqa Hotel,Makkah,1,MYR 195.52,3.1
276,Mubarak Al-Barakati Hotel,Makkah,1,MYR 195.52,4.0
277,Alayam Elite Hotel,Makkah,1,MYR 195.52,5.1
278,Nukhbat Al Jiwar Hotel Makkah,Makkah,1,MYR 193.65,2.6
279,Jouri Al Hada Hotel Makkah,Makkah,1,MYR 187.92,3.6
280,Manarat Al Aziza 3 Hotel Makkah,Makkah,1,MYR 186.63,3.4
281,Capital Guest Hotel,Makkah,1,MYR 184.66,2.9
282,Snood Al Huda,Makkah,1,MYR 182.81,2.1
283,Jawaher Al Hashmiya 4 Hotel Makkah,Makkah,1,MYR 179.13,5.7
284,Al Masar Al Aziziyah Hotel,Makkah,1,MYR 178.14,4.7
285,Wardat Naaman Hotel,Makkah,1,MYR 171.08,1.4
286,Sama Thakher Hotel,Makkah,1,MYR 166.19,3.3
287,Ghazala Beautiful Hotel,Makkah,1,MYR 165.71,3.1
288,Joury Al Mashaer Hotel,Makkah,1,MYR 165.11,5.7
289,Open Hotel Makka,Makkah,1,MYR 162.94,3.6
290,Diouf Al-Maqam Hotel,Makkah,1,MYR 161.50,2.9
291,Al Bilad 1 Hotel Makkah,Makkah,1,MYR 150.92,4.0
292,Dhakher Plaza Hotel,Makkah,1,MYR 140.78,2.9
293,Town House Castle Hotel,Makkah,1,MYR 130.04,4.6
294,Jawharat Dakher Hotel,Makkah,1,MYR 128.48,2.9
295,Sultana Rooms and Apartments,Makkah,1,MYR 127.09,1.7
296,Douof Al Maqam One Hotel,Makkah,1,MYR 127.09,2.4
297,Diouf Al Maqam Connect Hotel,Makkah,1,MYR 120.74,3.0
298,Diouf Al-Maqam Plaza Hotel,Makkah,1,MYR 120.22,2.4
299,Manasek Al Rashad Hotel,Makkah,1,MYR 118.19,2.7
300,Marriott Palace Hotel,Makkah,1,MYR 114.38,4.6
301,Royal Almashaer,Makkah,1,MYR 114.05,6.3
302,Al-Aseel Hotel Colors,Makkah,1,MYR 113.51,1.8
1000,Mubarak Silver,Madinah,3,MYR 150.00,0.5
